Allennes-les-Marais;3549
Villeneuve-d'Ascq;62342
Annœullin;10887
Anstaing;1643
Armentières;26107
Aubers;1746
Baisieux;5361
La Bassée;6678
Bauvin;5124
Beaucamps-Ligny;845
Bois-Grenier;1784
Bondues;9666
Bousbecque;4956
Bouvines;766
Capinghem;2601
Carnin;1097
La Chapelle-d'Armentières;8782
Chéreng;3040
Comines;12649
Croix;20956
Deûlémont;1801
Emmerin;3026
Englos;616
Ennetières-en-Weppes;1288
Erquinghem-le-Sec;624
Erquinghem-Lys;5349
Escobecques;303
Faches-Thumesnil;18310
Forest-sur-Marque;1660
Fournes-en-Weppes;2167
Frelinghien;2617
Fretin;3221
Fromelles;1133
Gruson;1223
Hallennes-lez-Haubourdin;4739
Halluin;20684
Hantay;1249
Haubourdin;14922
Hem;18579
Herlies;2288
Houplin-Ancoisne;3301
Houplines;7907
Illies;1688
Lambersart;27105
Lannoy;1791
Leers;9555
Lesquin;9356
Lezennes;2966
Lille;238695
Linselles;8177
Lompret;2170
Loos;22948
Lys-lez-Lannoy;13987
La Madeleine;22161
Le Maisnil;628
Marcq-en-Barœul;39943
Marquette-lez-Lille;11709
Marquillies;1971
Mons-en-Barœul;21368
Mouvaux;13239
Neuville-en-Ferrain;10125
Noyelles-lès-Seclin;839
Pérenchies;8487
Péronne-en-Mélantois;1001
Prémesques;2029
Provin;4456
Quesnoy-sur-Deûle;6863
Radinghem-en-Weppes;1404
Ronchin;19436
Roncq;13873
Roubaix;99507
Sailly-lez-Lannoy;1936
Sainghin-en-Mélantois;2844
Sainghin-en-Weppes;5663
Saint-André-lez-Lille;12909
Salomé;3116
Santes;5656
Seclin;13011
Sequedin;4722
Templemars;3630
Toufflers;3964
Tourcoing;99160
Tressin;1390
Vendeville;1615
Verlinghem;2678
Wambrechies;10984
Warneton;233
Wasquehal;20674
Wattignies;15756
Wattrelos;40881
Wavrin;7777
Wervicq-Sud;5446
Wicres;562
Willems;2969
Don;1401
