Aspremont;2321
Bairols;133
Beaulieu-sur-Mer;3835
Belvédère;595
La Bollène-Vésubie;659
Bonson;728
Le Broc;1432
Cagnes-sur-Mer;52852
Cap-d'Ail;4491
Carros;13729
Castagniers;1674
Châteauneuf-Villevieille;985
Clans;688
Colomars;3507
Drap;5300
Duranus;159
Èze;2155
Falicon;2170
Gattières;4345
La Gaude;7194
Gilette;1617
Ilonse;137
Isola;652
Lantosque;1197
Levens;5366
Marie;103
Nice;353701
Rimplas;154
Roquebillière;1816
La Roquette-sur-Var;933
Roubion;114
Roure;111
Saint-André-de-la-Roche;5877
Saint-Blaise;1391
Saint-Dalmas-le-Selvage;102
Saint-Étienne-de-Tinée;1269
Saint-Jean-Cap-Ferrat;1476
Saint-Jeannet;4378
Saint-Laurent-du-Var;31645
Saint-Martin-du-Var;3403
Saint-Martin-Vésubie;1379
Saint-Sauveur-sur-Tinée;295
La Tour;540
Tournefort;147
Tourrette-Levens;4633
La Trinité;10485
Utelle;824
Valdeblore;834
Venanson;197
Vence;19856
Villefranche-sur-Mer;5012
